Book name,Price,Rating,Availability,link
Special 99 Box (16 Books Combo),"Rs. 1,699.00",No rating,Sold out,https://99bookstores.com/products/special-99-box-16-books-combo
Summer Special 8 Books Combo,"Rs. 1,249.00",No rating,Sold out,https://99bookstores.com/products/summer-special-combo
Ikigai ℙ𝕒𝕡𝕖𝕣𝕓𝕒𝕔𝕜 #𝕋𝕣𝕖𝕟𝕕𝕚𝕟𝕘,Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/ikigai-paperback-trending
The Art of Laziness,Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/the-art-of-laziness
"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things",Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/do-it-today-overcome-procrastination-improve-productivity-and-achieve-more-meaningful-things
Dopamine Detox,Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/dopamine-detox
The Art of Not Overthinking by Shaurya Kapoor,Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/the-art-of-not-overthinking-by-shaurya-kapoor
The Art of Being Alone,Rs. 99.00,No rating,Sold out,https://99bookstores.com/products/the-art-of-being-alone
𝔸𝕥𝕠𝕞𝕚𝕔 ℍ𝕒𝕓𝕚𝕥𝕤* by James clear,Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/atomic-habits
The Psychology of Money,Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/the-psychology-of-money
99Bookstore Library Box,From Rs. 999.00,No rating,Sold out,https://99bookstores.com/products/99bookstore-mystery-box
(5 books set) A Court of Thorns and Roses Paperback Box Set by Sarah J. Maas,"Rs. 1,399.00",No rating,Sold out,https://99bookstores.com/products/5-books-set-a-court-of-thorns-and-roses-paperback-box-set
Shatter Me - The Complete Collection (9-Book Boxset) by Mafi tahereh,"Rs. 1,599.00",No rating,Sold out,https://99bookstores.com/products/shatter-me-the-complete-collection-9-book-boxset-1
I Don't Love You Anymore: Moving On & Living Your Best Life,Rs. 139.00,No rating,Sold out,https://99bookstores.com/products/i-dont-love-you-anymore-moving-on-living-your-best-life
Can we be strangers again,Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/can-we-be-strangers-again
In the Silence you left Behind,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/in-the-silence-you-left-behind
(Combo Set) It Start with us + It Ends with us by Colleen Hoover,Rs. 349.00,No rating,Sold out,https://99bookstores.com/products/combo-set-it-start-with-us-it-ends-with-us
The Good Girl's Guide to Murder by Holly Jackson,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/the-good-girls-guide-to-murder-book-1-a-good-girl-s-guide-to-murder-a-good-girl-s-guide-to-murder
Too Good to Be True by Prajakta Koli,Rs. 189.00,No rating,Sold out,https://99bookstores.com/products/too-good-to-be-true-by-prajakta-koli
A Little Life: Shortlisted for the Man Booker Prize 2015 (Picador Collection),Rs. 339.00,No rating,Sold out,https://99bookstores.com/products/a-little-life-shortlisted-for-the-man-booker-prize-2015-picador-collection
The Intelligent Investor,Rs. 279.00,No rating,Sold out,https://99bookstores.com/products/the-intelligent-investor
Trading in the Zone (Paperback),Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/trading-in-the-zone-paperback
Market Wizards,Rs. 299.00,No rating,Sold out,https://99bookstores.com/products/market-wizards
HARDCOVER Trading in the Zone,Rs. 499.00,No rating,Sold out,https://99bookstores.com/products/copy-of-trading-in-the-zone-paperback
Japanese Candlestick Charting Techniques,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/japanese-candlestick-charting-techniques
The Disciplined Trader,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/the-disciplined-trader
The New Trading for a Living,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/the-new-trading-for-a-living
How to Make Money With Breakout Trading,Rs. 279.00,No rating,Sold out,https://99bookstores.com/products/how-to-make-money-with-breakout-trading-1
How to Make Profit in Share Market,Rs. 180.00,No rating,Sold out,https://99bookstores.com/products/how-to-make-profit-in-share-market
Abdul’s Journey from Zero to Hero in the Share Market by Mahesh Chandra Kaushik,Rs. 225.00,No rating,Sold out,https://99bookstores.com/products/abduls-journey-from-zero-to-hero-in-the-share-market
Death Note Box Set: Volumes 1 - 12: Volumes 1-12 with Premium,"Rs. 1,999.00",No rating,Sold out,https://99bookstores.com/products/death-note-box-set-vol-s-1-13-volumes-1-12-volumes-1-13-with-premium
Dragonball Z Complete Box Set: Vols. 1-26,"Rs. 2,999.00",No rating,Sold out,https://99bookstores.com/products/dragonball-z-complete-box-set-vols-1-26
Fire Punch Boxset 1-8,"Rs. 1,199.00",No rating,Sold out,https://99bookstores.com/products/fire-punch-boxset-1-8
I Want to Eat Your Pancreas,Rs. 279.00,No rating,Sold out,https://99bookstores.com/products/i-want-to-eat-your-pancreas
Jujutsu Kaisen Vol 6,Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/jujutsu-kaisen-vol-6
"My Hero Academia, Vol. 5",Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/my-hero-academia-vol-5
"My Hero Academia, Vol. 6",Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/my-hero-academia-vol-6
"My Hero Academia, Vol. 7",Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/my-hero-academia-vol-7
"My Hero Academia, Vol. 8",Rs. 149.00,No rating,Sold out,https://99bookstores.com/products/my-hero-academia-vol-8
"Vagabond, Vol. 3",Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/vagabond-vol-3
48 Laws of Power by Robert Greene,Rs. 899.00,No rating,Sold out,https://99bookstores.com/products/the-48-laws-of-power
Concise 33 Strategies of War by Robert Greene,Rs. 449.00,No rating,Sold out,https://99bookstores.com/products/the-concise-33-strategies-of-war-1
Concise 48 Laws of Power by Robert Greene,Rs. 359.00,No rating,Sold out,https://99bookstores.com/products/the-concise-48-laws-of-power-1
Concise Art of Seduction by Robert Greene,Rs. 359.00,No rating,Sold out,https://99bookstores.com/products/the-concise-art-of-seduction-1
Raavan by Amish,Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/raavan
War of Lanka,Rs. 239.00,No rating,Sold out,https://99bookstores.com/products/war-of-lanka
Mahabharata Unravelled PART 2 :The Dharma Discourses by Ami Ganatra,Rs. 199.00,No rating,Sold out,https://99bookstores.com/products/part-2-mahabharata-unravelled-the-dharma-discourses
"Shirdi Sai Baba: Life, Philosophy & Teachings",Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/shirdi-sai-baba-life-philosophy-teachings
Courage,Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/courage
Excellence,Rs. 179.00,No rating,Sold out,https://99bookstores.com/products/excellence
The Odyssey by Homer,Rs. 449.00,No rating,Sold out,https://99bookstores.com/products/the-odyssey
